name,hero_id,localized_name
npc_dota_hero_antimage,1,Anti-Mage
npc_dota_hero_axe,2,Axe
npc_dota_hero_bane,3,Bane
npc_dota_hero_bloodseeker,4,Bloodseeker
npc_dota_hero_crystal_maiden,5,Crystal Maiden
npc_dota_hero_drow_ranger,6,Drow Ranger
npc_dota_hero_earthshaker,7,Earthshaker
npc_dota_hero_juggernaut,8,Juggernaut
npc_dota_hero_mirana,9,Mirana
npc_dota_hero_morphling,10,Morphling
npc_dota_hero_nevermore,11,Shadow Fiend
npc_dota_hero_phantom_lancer,12,Phantom Lancer
npc_dota_hero_puck,13,Puck
npc_dota_hero_pudge,14,Pudge
npc_dota_hero_razor,15,Razor
npc_dota_hero_sand_king,16,Sand King
npc_dota_hero_storm_spirit,17,Storm Spirit
npc_dota_hero_sven,18,Sven
npc_dota_hero_tiny,19,Tiny
npc_dota_hero_vengefulspirit,20,Vengeful Spirit
npc_dota_hero_windrunner,21,Windranger
npc_dota_hero_zuus,22,Zeus
npc_dota_hero_kunkka,23,Kunkka
npc_dota_hero_lina,24,Lina
npc_dota_hero_lion,25,Lion
npc_dota_hero_shadow_shaman,26,Shadow Shaman
npc_dota_hero_slardar,27,Slardar
npc_dota_hero_tidehunter,28,Tidehunter
npc_dota_hero_witch_doctor,29,Witch Doctor
npc_dota_hero_lich,30,Lich
npc_dota_hero_riki,31,Riki
npc_dota_hero_enigma,32,Enigma
npc_dota_hero_tinker,33,Tinker
npc_dota_hero_sniper,34,Sniper
npc_dota_hero_necrolyte,35,Necrophos
npc_dota_hero_warlock,36,Warlock
npc_dota_hero_beastmaster,37,Beastmaster
npc_dota_hero_queenofpain,38,Queen of Pain
npc_dota_hero_venomancer,39,Venomancer
npc_dota_hero_faceless_void,40,Faceless Void
npc_dota_hero_skeleton_king,41,Wraith King
npc_dota_hero_death_prophet,42,Death Prophet
npc_dota_hero_phantom_assassin,43,Phantom Assassin
npc_dota_hero_pugna,44,Pugna
npc_dota_hero_templar_assassin,45,Templar Assassin
npc_dota_hero_viper,46,Viper
npc_dota_hero_luna,47,Luna
npc_dota_hero_dragon_knight,48,Dragon Knight
npc_dota_hero_dazzle,49,Dazzle
npc_dota_hero_rattletrap,50,Clockwerk
npc_dota_hero_leshrac,51,Leshrac
npc_dota_hero_furion,52,Nature's Prophet
npc_dota_hero_life_stealer,53,Lifestealer
npc_dota_hero_dark_seer,54,Dark Seer
npc_dota_hero_clinkz,55,Clinkz
npc_dota_hero_omniknight,56,Omniknight
npc_dota_hero_enchantress,57,Enchantress
npc_dota_hero_huskar,58,Huskar
npc_dota_hero_night_stalker,59,Night Stalker
npc_dota_hero_broodmother,60,Broodmother
npc_dota_hero_bounty_hunter,61,Bounty Hunter
npc_dota_hero_weaver,62,Weaver
npc_dota_hero_jakiro,63,Jakiro
npc_dota_hero_batrider,64,Batrider
npc_dota_hero_chen,65,Chen
npc_dota_hero_spectre,66,Spectre
npc_dota_hero_ancient_apparition,67,Ancient Apparition
npc_dota_hero_doom_bringer,68,Doom
npc_dota_hero_ursa,69,Ursa
npc_dota_hero_spirit_breaker,70,Spirit Breaker
npc_dota_hero_gyrocopter,71,Gyrocopter
npc_dota_hero_alchemist,72,Alchemist
npc_dota_hero_invoker,73,Invoker
npc_dota_hero_silencer,74,Silencer
npc_dota_hero_obsidian_destroyer,75,Outworld Devourer
npc_dota_hero_lycan,76,Lycan
npc_dota_hero_brewmaster,77,Brewmaster
npc_dota_hero_shadow_demon,78,Shadow Demon
npc_dota_hero_lone_druid,79,Lone Druid
npc_dota_hero_chaos_knight,80,Chaos Knight
npc_dota_hero_meepo,81,Meepo
npc_dota_hero_treant,82,Treant Protector
npc_dota_hero_ogre_magi,83,Ogre Magi
npc_dota_hero_undying,84,Undying
npc_dota_hero_rubick,85,Rubick
npc_dota_hero_disruptor,86,Disruptor
npc_dota_hero_nyx_assassin,87,Nyx Assassin
npc_dota_hero_naga_siren,88,Naga Siren
npc_dota_hero_keeper_of_the_light,89,Keeper of the Light
npc_dota_hero_wisp,90,Io
npc_dota_hero_visage,91,Visage
npc_dota_hero_slark,92,Slark
npc_dota_hero_medusa,93,Medusa
npc_dota_hero_troll_warlord,94,Troll Warlord
npc_dota_hero_centaur,95,Centaur Warrunner
npc_dota_hero_magnataur,96,Magnus
npc_dota_hero_shredder,97,Timbersaw
npc_dota_hero_bristleback,98,Bristleback
npc_dota_hero_tusk,99,Tusk
npc_dota_hero_skywrath_mage,100,Skywrath Mage
npc_dota_hero_abaddon,101,Abaddon
npc_dota_hero_elder_titan,102,Elder Titan
npc_dota_hero_legion_commander,103,Legion Commander
npc_dota_hero_techies,104,Techies
npc_dota_hero_ember_spirit,105,Ember Spirit
npc_dota_hero_earth_spirit,106,Earth Spirit
npc_dota_hero_terrorblade,107,Terrorblade
npc_dota_hero_phoenix,108,Phoenix
npc_dota_hero_oracle,109,Oracle
npc_dota_hero_winter_wyvern,110,Winter Wyvern
